SerialNo,Id,DeptSn,StateOfOrigin,Sex,Age,Engscore,Subj2,Subj2Score,Subj3,Subj3Score,Subj4,Subj4Score,TotalScore,F12tChoice,faculty,dept
294,2785,27,3,2,17,54,7,40,5,50,13,52,196,ABUJA,Faculty of Arts,15
295,2786,28,27,2,23,50,7,48,5,56,13,40,194,ABUJA,Faculty of Arts,15
296,2787,29,37,1,22,36,5,42,14,56,13,60,194,ABUJA,Faculty of Arts,15
297,2788,30,22,1,19,51,7,54,4,44,5,45,194,ABUJA,Faculty of Arts,15
298,2789,31,24,2,17,44,5,34,12,50,13,64,192,ABUJA,Faculty of Arts,15
299,2790,32,4,2,21,55,7,48,4,55,5,34,192,ABUJA,Faculty of Arts,15
300,2791,33,3,1,19,52,4,46,5,54,14,40,192,ABUJA,Faculty of Arts,15
301,2792,34,11,1,19,54,7,50,5,50,13,38,192,ABUJA,Faculty of Arts,15
302,2793,35,28,1,19,44,4,44,5,56,14,46,190,ABUJA,Faculty of Arts,15
303,2794,36,28,1,28,54,5,42,14,46,13,48,190,ABUJA,Faculty of Arts,15
304,2795,37,3,1,27,42,4,44,6,56,5,48,190,ABUJA,Faculty of Arts,15
305,2796,38,4,1,22,54,7,42,5,42,13,52,190,ABUJA,Faculty of Arts,15
306,2797,39,22,2,18,52,4,38,14,48,13,52,190,ABUJA,Faculty of Arts,15
307,2798,40,10,2,25,58,7,38,5,40,14,54,190,ABUJA,Faculty of Education,7
308,2799,41,4,2,20,40,7,62,5,52,13,36,190,ABUJA,Faculty of Arts,15
309,2800,42,1,2,21,64,7,30,5,48,13,48,190,ABUJA,Faculty of Arts,15
310,2801,43,10,2,22,49,7,55,5,48,13,38,190,ABUJA,Faculty of Arts,15
311,2802,44,22,1,20,54,7,44,5,46,13,46,190,ABUJA,Faculty of Arts,15
312,2803,45,13,2,19,56,7,42,5,46,13,44,188,ABUJA,Faculty of Arts,15
313,2804,46,29,1,18,50,7,38,5,44,13,56,188,ABUJA,Faculty of Arts,15
314,2806,48,27,2,19,56,7,50,5,46,13,36,188,ABUJA,Faculty of Arts,15
315,2807,49,3,1,19,44,7,49,4,59,5,36,188,ABUJA,Faculty of Arts,15
316,2808,50,22,2,18,56,5,54,12,32,13,46,188,ABUJA,Faculty of Arts,15
317,2809,51,23,1,24,40,5,54,12,38,13,56,188,ABUJA,Faculty of Arts,15
318,2810,52,30,1,19,48,4,62,5,40,1,38,188,ABUJA,Faculty of Arts,15
319,2811,53,16,1,21,58,7,43,5,41,13,44,186,ABUJA,Faculty of Arts,15
320,2812,54,22,1,23,54,3,44,4,40,5,48,186,ABUJA,Faculty of Arts,15
321,2813,55,19,2,24,40,7,62,14,44,13,40,186,ABUJA,Faculty of Arts,15
322,2814,56,23,1,19,62,7,44,5,40,13,36,182,ABUJA,Faculty of Arts,15
323,2815,57,7,2,21,46,7,48,5,46,13,42,182,ABUJA,Faculty of Arts,15
324,2816,58,16,1,19,50,5,50,14,46,13,36,182,ABUJA,Faculty of Arts,15
325,2817,59,7,1,30,46,4,40,5,54,14,42,182,ABUJA,Faculty of Management Sciences,1
326,2818,60,31,1,20,50,7,48,14,40,13,44,182,ABUJA,Faculty of Arts,15
327,2819,61,22,1,21,60,4,34,6,50,5,36,180,ABUJA,Faculty of Arts,15
328,2820,62,29,1,19,42,4,62,5,38,1,38,180,ABUJA,Faculty of Arts,15
329,2821,63,22,1,21,50,7,40,5,46,13,44,180,ABUJA,Faculty of Arts,15
330,2822,64,26,1,20,58,7,44,14,48,13,30,180,ABUJA,Faculty of Arts,15
331,2984,1,30,1,23,48,20,52,5,50,12,59,209,ABUJA,Faculty of Arts,16
332,2985,2,30,1,20,47,20,59,12,54,15,47,207,ABUJA,Faculty of Arts,16
333,2986,3,34,1,28,41,20,58,19,55,12,42,196,ABUJA,Faculty of Arts,16
334,2987,4,22,1,24,44,20,48,5,47,12,54,193,ABUJA,Faculty of Arts,16
335,2988,5,8,2,31,51,20,63,19,30,12,49,193,ABUJA,Faculty of Arts,16
336,2989,6,23,1,22,47,20,51,12,42,15,40,180,ABUJA,Faculty of Arts,16
337,2990,1,2,2,30,60,20,69,5,48,12,54,231,ABUJA,Faculty of Arts,19
338,2991,2,36,1,22,54,5,65,12,52,13,59,230,ABUJA,Faculty of Arts,19
339,2992,3,19,2,30,46,2,53,19,64,12,65,228,ABUJA,Faculty of Arts,19
340,2993,4,18,2,28,53,20,58,5,62,12,47,220,ABUJA,Faculty of Arts,19
341,2994,5,27,1,26,47,5,59,12,55,1,53,214,ABUJA,Faculty of Arts,19
342,2995,6,25,2,18,62,5,52,12,54,13,44,212,ABUJA,Faculty of Arts,19
343,2996,7,22,1,19,42,5,41,19,72,12,55,210,ABUJA,Faculty of Arts,19
344,2997,8,22,1,19,48,5,59,12,52,13,48,207,ABUJA,Faculty of Arts,19
345,2998,9,37,2,17,62,5,44,12,50,13,50,206,ABUJA,Faculty of Arts,19
346,2999,10,20,1,22,40,2,66,9,52,12,48,206,ABUJA,Faculty of Arts,19
347,3000,11,20,1,23,43,19,56,12,54,10,51,204,ABUJA,Faculty of Arts,19
348,3001,12,15,1,27,42,5,47,19,61,12,54,204,ABUJA,Faculty of Arts,19
349,3002,13,20,1,24,52,19,53,14,46,12,52,203,ABUJA,Faculty of Arts,19
350,3003,14,20,1,26,52,20,46,19,47,12,55,200,ABUJA,Faculty of Arts,19
351,3004,15,17,2,21,46,20,49,19,56,12,45,196,ABUJA,Faculty of Arts,19
352,3005,16,5,2,17,45,5,39,19,56,12,55,195,ABUJA,Faculty of Arts,19
353,3006,17,30,1,20,49,6,45,12,62,15,39,195,ABUJA,Faculty of Arts,19
354,3007,18,20,1,29,43,20,41,19,52,12,57,193,ABUJA,Faculty of Arts,19
355,3008,19,18,1,24,51,20,48,5,47,12,47,193,ABUJA,Faculty of Arts,19
356,3009,20,37,2,23,62,3,50,12,40,8,38,190,ABUJA,Faculty of Education,7
357,3011,22,25,2,19,46,5,40,12,52,13,50,188,ABUJA,Faculty of Arts,19
358,3012,23,30,2,20,42,5,60,12,42,13,42,186,ABUJA,Faculty of Arts,19
359,3013,24,23,2,16,48,5,30,12,60,13,48,186,ABUJA,Faculty of Arts,19
360,3014,25,23,1,23,39,20,48,5,41,12,57,185,ABUJA,Faculty of Arts,19
361,3015,26,17,2,20,64,3,42,19,49,12,29,184,ABUJA,Faculty of Arts,19
362,3016,27,37,1,22,46,4,44,5,44,12,50,184,ABUJA,Faculty of Arts,19
363,3017,28,5,2,19,44,5,41,12,47,13,52,184,ABUJA,Faculty of Arts,19
364,3018,29,23,1,44,48,4,34,5,46,12,54,182,ABUJA,Faculty of Arts,19
365,3019,30,30,1,21,38,5,46,12,52,13,46,182,ABUJA,Faculty of Arts,19
366,3020,31,33,2,17,46,4,52,5,34,12,50,182,ABUJA,Faculty of Social Science,23
367,3021,32,35,1,30,43,20,43,19,50,12,45,181,ABUJA,Faculty of Arts,19
368,3022,33,12,2,22,54,4,32,5,42,12,52,180,ABUJA,Faculty of Arts,19
369,3096,1,16,2,28,62,7,77,5,47,13,69,255,ABUJA,Faculty of Education,7
370,3097,2,28,2,20,71,7,54,5,57,13,67,249,ABUJA,Faculty of Education,7
371,3098,3,30,2,22,64,7,57,5,76,13,49,246,ABUJA,Faculty of Education,7
372,3099,4,1,2,19,64,7,63,5,73,13,44,244,ABUJA,Faculty of Education,7
373,3100,5,16,2,23,42,7,61,5,64,13,75,242,ABUJA,Faculty of Education,7
374,3101,6,16,2,21,70,4,53,14,57,13,62,242,ABUJA,Faculty of Education,7
375,3103,8,28,2,21,48,7,64,5,71,13,57,240,ABUJA,Faculty of Education,7
376,3104,9,13,2,18,56,7,63,5,54,13,65,238,ABUJA,Faculty of Education,7
377,3105,10,14,2,16,55,7,69,5,59,13,54,237,ABUJA,Faculty of Education,7
378,3107,12,22,2,18,63,7,66,5,57,13,49,235,ABUJA,Faculty of Education,7
379,3110,15,29,1,26,70,7,55,5,52,13,56,233,ABUJA,Faculty of Education,7
380,3111,16,9,2,16,63,7,55,5,55,13,59,232,ABUJA,Faculty of Education,7
381,3112,17,30,1,31,60,5,50,12,55,13,64,229,ABUJA,Faculty of Education,7
382,3114,19,22,2,18,56,7,49,14,59,13,64,228,ABUJA,Faculty of Education,7
383,3115,20,9,2,24,63,7,58,5,55,13,51,227,ABUJA,Faculty of Education,7
384,3118,23,7,2,22,54,7,54,5,61,13,56,225,ABUJA,Faculty of Education,7
385,3280,2,14,2,19,52,7,55,4,62,5,62,231,ABUJA,Faculty of Education,7
386,3282,4,4,2,21,62,7,55,4,59,5,48,224,ABUJA,Faculty of Education,7
387,3286,8,4,1,19,58,7,36,4,54,5,68,216,ABUJA,Faculty of Education,7
388,3287,9,12,2,24,62,7,54,4,56,5,42,214,ABUJA,Faculty of Education,7
389,3288,10,6,2,21,45,7,51,4,61,5,55,212,ABUJA,Faculty of Education,7
390,3291,13,1,2,20,52,7,56,4,44,5,58,210,ABUJA,Faculty of Education,7
391,3295,17,3,1,26,51,7,48,4,50,5,55,204,ABUJA,Faculty of Education,7
392,3297,19,37,1,19,48,7,52,4,46,5,57,203,ABUJA,Faculty of Education,7
393,3298,20,14,1,20,48,7,51,4,57,5,47,203,ABUJA,Faculty of Education,7
394,3301,23,11,1,19,53,7,52,4,48,5,48,201,ABUJA,Faculty of Education,7
395,3302,24,9,1,23,52,7,42,4,53,5,54,201,ABUJA,Faculty of Education,7
396,3305,27,14,2,20,60,7,45,4,52,5,43,200,ABUJA,Faculty of Education,7
397,3309,31,30,2,18,49,7,49,4,59,5,41,198,ABUJA,Faculty of Education,7
398,3311,33,37,1,28,51,7,46,4,46,5,52,195,ABUJA,Faculty of Education,7
399,3318,40,37,2,17,58,7,45,4,44,5,45,192,ABUJA,Faculty of Education,7
400,3325,47,23,2,23,38,4,44,5,55,12,52,189,ABUJA,Faculty of Education,7
401,3326,48,4,1,19,46,7,48,4,54,5,40,188,ABUJA,Faculty of Education,7
402,3327,49,29,1,22,49,7,46,4,52,5,41,188,ABUJA,Faculty of Education,7
403,3328,50,37,1,21,44,7,49,4,52,5,43,188,ABUJA,Faculty of Education,7
404,3330,52,34,2,21,62,7,40,4,44,5,40,186,ABUJA,Faculty of Education,7
405,3332,54,7,1,21,46,7,48,4,48,5,44,186,ABUJA,Faculty of Education,7
406,3333,55,1,2,20,68,7,42,4,32,5,44,186,ABUJA,Faculty of Education,7
407,3335,57,37,2,22,49,4,50,5,39,12,47,185,ABUJA,Faculty of Education,7
408,3340,62,30,2,18,46,7,42,4,54,5,40,182,ABUJA,Faculty of Education,7
409,3342,64,26,1,22,47,4,53,6,39,5,41,180,ABUJA,Faculty of Education,7
410,3345,1,28,1,24,47,20,62,3,55,12,60,224,ABUJA,Faculty of Education,7
411,3346,2,23,1,21,44,20,51,5,54,12,52,201,ABUJA,Faculty of Education,7
412,3348,4,8,1,23,26,20,55,19,47,12,57,185,ABUJA,Faculty of Education,7
413,3349,1,22,2,21,52,7,51,5,80,13,56,239,ABUJA,Faculty of Education,7
414,3353,5,3,2,21,60,7,54,5,68,13,41,223,ABUJA,Faculty of Education,7
415,3354,6,7,2,20,48,7,55,4,57,13,62,222,ABUJA,Faculty of Education,7
416,3356,8,16,1,19,42,7,54,5,62,13,58,216,ABUJA,Faculty of Education,7
417,3358,10,14,1,22,46,7,49,5,54,13,49,198,ABUJA,Faculty of Education,7
418,3359,11,9,2,20,50,7,44,5,50,13,54,198,ABUJA,Faculty of Education,7
419,3362,14,18,2,21,44,7,43,5,52,13,56,195,ABUJA,Faculty of Education,7
420,3367,19,7,2,22,44,7,60,5,40,13,36,180,ABUJA,Faculty of Education,7
421,3442,1,22,2,19,60,4,61,5,75,12,54,250,ABUJA,Faculty of Education,7
422,3443,2,19,2,31,54,19,56,12,55,1,57,222,ABUJA,Faculty of Education,7
423,3444,3,27,1,34,49,20,66,4,52,12,55,222,ABUJA,Faculty of Education,7
424,3445,4,15,2,30,44,4,59,19,59,12,57,219,ABUJA,Faculty of Education,7
425,3446,5,8,2,32,46,5,54,19,58,12,59,217,ABUJA,Faculty of Education,7
426,3447,6,23,2,19,62,5,61,12,45,13,46,214,ABUJA,Faculty of Education,7
427,3448,7,26,1,25,52,20,52,5,48,12,60,212,ABUJA,Faculty of Education,7
428,3449,8,25,1,22,48,20,48,5,61,12,54,211,ABUJA,Faculty of Education,7
429,3450,9,19,2,19,56,6,53,19,56,12,42,207,ABUJA,Faculty of Education,7
430,3451,10,23,2,18,48,5,48,12,60,13,44,200,ABUJA,Faculty of Education,7
431,3452,11,22,1,22,52,4,50,5,54,12,42,198,ABUJA,Faculty of Education,7
432,3453,12,37,2,23,57,6,43,5,47,12,49,196,ABUJA,Faculty of Education,7
433,3454,13,30,1,17,38,5,45,12,55,15,56,194,ABUJA,Faculty of Education,7
434,3456,15,25,2,21,45,6,50,5,47,12,47,189,ABUJA,Faculty of Education,7
435,3458,17,37,1,27,43,3,46,5,47,12,47,183,ABUJA,Faculty of Education,7
436,3459,1,14,1,21,53,9,52,1,57,10,75,237,ABUJA,Faculty of Education,6
437,3460,2,7,2,17,61,2,71,9,41,10,51,224,ABUJA,Faculty of Education,6
438,3461,3,3,2,26,33,2,54,9,55,10,61,203,ABUJA,Faculty of Education,6
439,3463,5,4,2,16,47,2,51,9,47,10,49,194,ABUJA,Faculty of Education,6
440,3464,6,14,2,16,49,2,43,9,50,10,51,193,ABUJA,Faculty of Education,6
441,3465,7,26,2,19,36,2,60,9,48,10,48,192,ABUJA,Faculty of Education,6
442,3466,8,3,2,22,44,2,64,9,55,10,28,191,ABUJA,Faculty of Education,6
443,3467,9,29,1,23,45,9,48,1,57,10,39,189,ABUJA,Faculty of Education,6
444,3468,10,25,1,19,44,9,48,1,48,10,45,185,ABUJA,Faculty of Education,6
445,3469,11,29,1,26,50,9,38,1,50,10,44,182,ABUJA,Faculty of Education,6
446,3470,12,30,1,21,46,9,43,1,47,10,44,180,ABUJA,Faculty of Education,6
447,3489,4,14,1,28,73,7,51,4,52,6,56,232,ABUJA,Faculty of Education,5
448,3490,5,29,2,17,49,3,58,4,55,5,69,231,ABUJA,Faculty of Education,5
449,3491,6,13,1,23,48,7,54,5,73,13,54,229,ABUJA,Faculty of Education,5
450,3494,9,31,2,22,47,4,66,6,60,5,52,225,ABUJA,Faculty of Education,5
451,3496,11,4,1,17,57,7,67,5,52,13,46,222,ABUJA,Faculty of Education,5
452,3497,12,1,1,38,52,4,48,5,57,13,65,222,ABUJA,Faculty of Education,5
453,3498,13,11,2,21,66,5,43,16,51,13,59,219,ABUJA,Faculty of Education,5
454,3499,14,30,1,22,52,5,50,12,67,15,50,219,ABUJA,Faculty of Education,5
455,3502,17,22,1,23,46,3,55,4,59,5,57,217,ABUJA,Faculty of Education,5
456,3503,18,7,2,21,61,4,54,5,47,13,51,213,ABUJA,Faculty of Education,5
457,3504,19,7,1,19,60,7,43,3,58,4,52,213,ABUJA,Faculty of Education,5
458,3505,20,4,2,17,45,7,55,5,54,13,59,213,ABUJA,Faculty of Education,5
459,3507,22,22,2,19,58,4,60,5,50,13,42,210,ABUJA,Faculty of Education,5
460,3508,23,37,1,21,49,3,44,4,61,8,54,208,ABUJA,Faculty of Education,5
461,3511,26,37,1,19,48,7,48,4,48,5,61,205,ABUJA,Faculty of Education,5
462,3548,1,29,1,24,69,11,65,4,64,10,49,247,ABUJA,Faculty of Education,4
463,3549,2,5,2,17,55,5,64,12,64,13,54,237,ABUJA,Faculty of Education,4
464,3550,3,14,1,21,66,7,52,4,53,5,64,235,ABUJA,Faculty of Education,4
465,3551,4,12,1,19,70,7,51,5,57,13,56,234,ABUJA,Faculty of Education,4
466,3552,5,22,2,19,57,4,61,5,50,12,59,227,ABUJA,Faculty of Education,4
467,3553,6,15,2,20,64,2,46,9,66,10,49,225,ABUJA,Faculty of Science,9
468,3554,7,29,1,23,61,3,53,5,48,1,62,224,ABUJA,Faculty of Education,4
469,3555,8,16,2,21,61,2,64,5,47,13,52,224,ABUJA,Faculty of Education,4
470,3556,9,28,2,23,53,2,62,4,55,5,52,222,ABUJA,Faculty of Education,4
471,3557,10,10,1,20,66,11,56,4,48,5,52,222,ABUJA,Faculty of Education,4
472,3558,11,16,2,21,56,7,43,4,52,5,69,220,ABUJA,Faculty of Education,4
473,3559,12,37,1,18,47,4,62,5,62,12,49,220,ABUJA,Faculty of Education,4
474,3560,13,14,2,18,79,4,64,5,36,13,39,218,ABUJA,Faculty of Education,4
475,3561,14,25,2,19,55,4,55,5,54,12,52,216,ABUJA,Faculty of Education,4
476,3562,15,23,2,17,58,7,60,5,44,13,54,216,ABUJA,Faculty of Education,4
477,3563,16,28,2,17,51,7,46,5,68,13,49,214,ABUJA,Faculty of Education,4
478,3664,1,12,2,23,52,3,55,4,62,5,73,242,ABUJA,Faculty of Education,7
479,3665,2,26,1,23,54,4,50,5,61,12,55,220,ABUJA,Faculty of Education,7
480,3666,3,1,2,16,70,11,51,2,39,9,59,219,ABUJA,Faculty of Education,7
481,3667,4,2,2,24,55,11,54,2,49,9,54,212,ABUJA,Faculty of Education,7
482,3668,5,23,1,24,49,5,54,12,62,15,45,210,ABUJA,Faculty of Education,7
483,3669,6,14,2,19,44,3,67,4,52,5,47,210,ABUJA,Faculty of Education,7
484,3670,7,7,2,33,61,7,40,4,52,5,54,207,ABUJA,Faculty of Education,7
485,3671,8,14,2,19,51,7,57,4,55,15,40,203,ABUJA,Faculty of Education,7
486,3672,9,32,2,19,60,7,49,4,48,13,44,201,ABUJA,Faculty of Education,7
487,3673,10,23,2,29,48,7,40,3,65,4,46,199,ABUJA,Faculty of Education,7
488,3674,11,29,2,17,48,2,49,9,50,10,51,198,ABUJA,Faculty of Education,7
489,3676,13,37,2,21,49,11,46,4,50,5,52,197,ABUJA,Faculty of Education,7
490,3677,14,27,2,20,43,7,49,5,59,13,44,195,ABUJA,Faculty of Education,7
491,3678,15,18,2,21,45,7,52,4,59,5,39,195,ABUJA,Faculty of Education,7
492,3679,16,37,1,22,42,4,57,6,42,5,54,195,ABUJA,Faculty of Education,7
493,3684,21,23,2,20,46,5,56,1,50,8,38,190,ABUJA,Faculty of Education,7
494,3819,1,22,1,20,60,9,78,1,73,10,63,274,ABUJA,Faculty of Engineering,2
495,3820,2,16,1,18,83,9,52,1,40,10,87,262,ABUJA,Faculty of Engineering,2
496,3822,4,3,1,16,65,9,57,1,53,10,73,248,ABUJA,Faculty of Engineering,2
497,3824,6,7,1,18,43,9,62,1,75,10,64,244,ABUJA,Faculty of Engineering,2
498,3825,7,22,1,22,65,9,50,1,63,10,64,242,ABUJA,Faculty of Engineering,2
499,3826,8,18,1,22,61,9,64,1,58,10,57,240,ABUJA,Faculty of Engineering,2
500,3827,9,7,2,19,69,9,47,1,78,10,44,238,ABUJA,Faculty of Engineering,2
501,3828,10,4,1,18,64,9,64,1,58,10,52,238,ABUJA,Faculty of Engineering,2
502,3829,11,21,1,17,79,9,50,1,53,10,54,236,ABUJA,Faculty of Engineering,2
503,3831,13,16,1,18,70,9,67,1,52,10,45,234,ABUJA,Faculty of Engineering,2
504,3832,14,14,1,22,80,9,45,1,52,10,56,233,ABUJA,Faculty of Engineering,2
505,3833,15,26,1,19,66,9,48,1,63,10,54,231,ABUJA,Faculty of Engineering,2
506,3834,16,12,1,16,58,9,54,1,55,10,64,231,ABUJA,Faculty of Engineering,2
507,3835,17,16,1,17,79,9,47,1,47,10,57,230,ABUJA,Faculty of Engineering,2
508,3837,19,25,1,18,61,9,64,1,55,10,47,227,ABUJA,Faculty of Engineering,2
509,3838,20,16,1,23,48,9,74,1,50,10,54,226,ABUJA,Faculty of Engineering,2
510,3839,21,30,1,16,60,9,45,1,65,10,54,224,ABUJA,Faculty of Engineering,2
511,3840,22,1,1,20,55,9,55,1,57,10,57,224,ABUJA,Faculty of Engineering,2
512,3841,23,11,1,18,62,9,48,1,57,10,57,224,ABUJA,Faculty of Engineering,2
513,3842,24,22,1,19,53,9,74,1,37,10,59,223,ABUJA,Faculty of Engineering,2
514,3843,25,12,1,17,39,9,66,1,58,10,59,222,ABUJA,Faculty of Engineering,2
515,3844,26,18,1,19,57,9,59,1,47,10,59,222,ABUJA,Faculty of Engineering,2
516,3846,28,10,1,17,57,9,54,1,57,10,54,222,ABUJA,Faculty of Engineering,2
517,3847,29,23,1,20,74,9,48,1,48,10,51,221,ABUJA,Faculty of Engineering,2
518,3850,32,4,1,17,45,9,52,1,62,10,61,220,ABUJA,Faculty of Engineering,2
519,3851,33,8,1,17,54,9,52,1,55,10,59,220,ABUJA,Faculty of Engineering,2
520,3852,34,26,1,19,63,9,50,1,47,10,59,219,ABUJA,Faculty of Science,24
521,3854,36,23,1,15,56,9,54,1,60,10,47,217,ABUJA,Faculty of Engineering,2
522,3855,37,7,2,19,53,9,57,1,55,10,52,217,ABUJA,Faculty of Engineering,2
523,3858,40,22,1,20,57,9,54,1,53,10,52,216,ABUJA,Faculty of Engineering,2
524,3861,43,11,1,23,52,9,55,1,57,10,52,216,ABUJA,Faculty of Engineering,2
525,3864,46,37,1,27,62,9,40,1,57,10,56,215,ABUJA,Faculty of Engineering,2
526,4024,1,29,1,19,79,9,71,1,80,10,57,287,ABUJA,Faculty of Engineering,3
527,4025,2,29,1,20,71,9,78,1,65,10,64,278,ABUJA,Faculty of Engineering,3
528,4026,3,4,1,23,79,9,88,1,60,10,39,266,ABUJA,Faculty of Engineering,13
529,4027,4,16,1,22,36,9,73,1,67,10,87,263,ABUJA,Faculty of Engineering,3
530,4028,5,30,1,15,65,9,78,1,63,10,54,260,ABUJA,Faculty of Engineering,3
531,4029,6,28,1,17,82,9,59,1,68,10,51,260,ABUJA,Faculty of Engineering,3
532,4031,8,7,1,25,69,9,62,1,62,10,61,254,ABUJA,Faculty of Engineering,3
533,4032,9,16,2,16,72,9,55,1,77,10,49,253,ABUJA,Faculty of Engineering,3
534,4033,10,23,1,19,57,9,47,1,73,10,75,252,ABUJA,Faculty of Engineering,3
535,4034,11,5,1,18,64,9,52,1,72,10,64,252,ABUJA,Faculty of Engineering,3
536,4036,13,10,1,17,73,9,52,1,82,10,40,247,ABUJA,Faculty of Engineering,3
537,4037,14,16,1,33,79,9,45,1,62,10,57,243,ABUJA,Faculty of Engineering,3
538,4038,15,22,1,17,79,9,59,1,53,10,52,243,ABUJA,Faculty of Engineering,3
539,4039,16,28,1,16,52,9,64,1,72,10,54,242,ABUJA,Faculty of Engineering,3
540,4040,17,9,1,17,65,9,64,1,60,10,52,241,ABUJA,Faculty of Engineering,3
541,4041,18,7,1,31,49,9,78,1,57,10,57,241,ABUJA,Faculty of Engineering,3
542,4042,19,29,1,18,62,9,61,1,65,10,52,240,ABUJA,Faculty of Engineering,3
543,4043,20,30,1,18,69,9,61,1,55,10,54,239,ABUJA,Faculty of Engineering,3
544,4045,22,1,1,19,64,9,73,1,47,10,54,238,ABUJA,Faculty of Engineering,3
545,4046,23,16,2,18,76,9,62,1,53,10,45,236,ABUJA,Faculty of Engineering,3
546,4048,25,22,1,19,72,9,71,1,40,10,51,234,ABUJA,Faculty of Engineering,3
547,4049,26,14,1,22,70,9,50,1,55,10,59,234,ABUJA,Faculty of Engineering,3
548,4050,27,18,1,19,58,9,57,1,53,10,66,234,ABUJA,Faculty of Engineering,3
549,4051,28,10,1,19,70,9,50,1,65,10,49,234,ABUJA,Faculty of Engineering,3
550,4052,29,7,1,20,61,9,59,1,58,10,56,234,ABUJA,Faculty of Engineering,3
551,4055,32,12,1,19,51,9,64,1,60,10,56,231,ABUJA,Faculty of Engineering,3
552,4056,33,22,1,25,66,9,52,1,57,10,54,229,ABUJA,Faculty of Engineering,3
553,4060,37,25,1,21,60,9,57,1,52,10,59,228,ABUJA,Faculty of Engineering,3
554,4061,38,2,1,22,52,9,54,1,63,10,59,228,ABUJA,Faculty of Engineering,3
555,4063,40,4,1,16,67,9,52,1,63,10,45,227,ABUJA,Faculty of Engineering,3
556,4064,41,31,1,21,62,9,57,1,57,10,51,227,ABUJA,Faculty of Engineering,3
557,4071,48,37,1,16,61,9,61,1,52,10,52,226,ABUJA,Faculty of Engineering,3
558,4483,2,30,1,23,61,9,43,1,67,10,88,259,ABUJA,Faculty of Engineering,12
559,4484,3,3,1,25,64,9,62,1,73,10,59,258,ABUJA,Faculty of Engineering,12
560,4485,4,4,1,18,70,9,50,1,68,10,66,254,ABUJA,Faculty of Engineering,12
561,4486,5,22,1,16,58,9,55,1,67,10,73,253,ABUJA,Faculty of Engineering,12
562,4487,6,4,2,17,74,9,59,1,53,10,66,252,ABUJA,Faculty of Engineering,12
563,4488,7,16,1,17,70,9,62,1,57,10,63,252,ABUJA,Faculty of Engineering,12
564,4489,8,22,1,20,63,9,59,1,78,10,51,251,ABUJA,Faculty of Engineering,12
565,4490,9,5,1,17,49,9,67,1,55,10,73,244,ABUJA,Faculty of Engineering,12
566,4491,10,22,1,18,75,9,52,1,62,10,51,240,ABUJA,Faculty of Engineering,12
567,4492,11,22,1,18,58,9,69,1,63,10,49,239,ABUJA,Faculty of Engineering,12
568,4493,12,10,1,18,45,9,67,1,67,10,57,236,ABUJA,Faculty of Engineering,12
569,4494,13,4,2,17,55,9,62,1,53,10,63,233,ABUJA,Faculty of Engineering,12
570,4495,14,12,1,16,70,9,54,1,45,10,63,232,ABUJA,Faculty of Engineering,12
571,4496,15,10,1,17,65,9,54,1,48,10,64,231,ABUJA,Faculty of Engineering,12
572,4497,16,7,1,16,57,9,57,1,58,10,59,231,ABUJA,Faculty of Engineering,12
573,4498,17,18,1,22,65,9,50,1,62,10,54,231,ABUJA,Faculty of Engineering,12
574,4499,18,16,1,18,49,9,57,1,60,10,63,229,ABUJA,Faculty of Engineering,12
575,4500,19,4,1,18,47,9,62,1,68,10,52,229,ABUJA,Faculty of Engineering,12
576,4502,21,10,1,19,82,9,50,1,40,10,56,228,ABUJA,Faculty of Engineering,12
577,4504,23,30,1,20,65,9,59,1,60,10,44,228,ABUJA,Faculty of Engineering,12
578,4506,25,7,1,20,65,9,52,1,47,10,63,227,ABUJA,Faculty of Engineering,12
579,4508,27,9,1,19,55,9,52,1,58,10,61,226,ABUJA,Faculty of Engineering,12
580,4510,29,18,2,19,70,9,47,1,58,10,51,226,ABUJA,Faculty of Engineering,12
581,4514,33,29,1,19,78,9,43,1,52,10,51,224,ABUJA,Faculty of Engineering,12
582,4516,35,3,1,19,62,9,48,1,57,10,57,224,ABUJA,Faculty of Engineering,12
583,4517,36,23,1,18,54,9,52,1,48,10,69,223,ABUJA,Faculty of Engineering,12
584,4521,40,9,1,29,52,9,57,1,52,10,61,222,ABUJA,Faculty of Engineering,12
585,4524,43,14,1,17,80,9,48,1,48,10,45,221,ABUJA,Faculty of Engineering,12
586,4538,57,22,2,18,61,9,57,1,48,10,51,217,ABUJA,Faculty of Engineering,12
587,4541,60,5,1,19,55,9,41,1,60,10,61,217,ABUJA,Faculty of Engineering,12
588,4546,65,11,1,25,69,9,48,1,57,10,42,216,ABUJA,Faculty of Engineering,12
589,4865,1,12,1,25,82,9,61,1,60,10,97,300,ABUJA,Faculty of Engineering,18
590,4866,2,1,1,18,67,9,64,1,60,10,66,257,ABUJA,Faculty of Engineering,18
591,4867,3,7,1,21,98,9,36,1,60,10,61,255,ABUJA,Faculty of Engineering,18
592,4868,4,4,1,17,48,9,67,1,82,10,56,253,ABUJA,Faculty of Engineering,18
593,4869,5,13,1,16,64,9,73,1,55,10,54,246,ABUJA,Faculty of Engineering,18
594,4870,6,28,1,18,64,9,61,1,45,10,75,245,ABUJA,Faculty of Engineering,18
595,4872,8,11,1,19,71,9,76,1,53,10,42,242,ABUJA,Faculty of Engineering,18
